#,blue value,green value,red value,concentration,contaminant_type
1,0.677975532,0.193157471,0.128866997,0.00%,None (Distilled Water/Control)
2,0.669626514,0.19486847,0.135505016,0.00%,None (Distilled Water/Control)
3,0.677555739,0.191499845,0.130944415,0.00%,None (Distilled Water/Control)
4,0.66617838,0.194540101,0.13928152,0.00%,None (Distilled Water/Control)
5,0.676879074,0.192122376,0.130998551,0.00%,None (Distilled Water/Control)
6,0.681802388,0.190540946,0.127656666,0.00%,None (Distilled Water/Control)
7,0.671063971,0.194061075,0.134874954,0.00%,None (Distilled Water/Control)
8,0.675993447,0.191918143,0.13208841,0.00%,None (Distilled Water/Control)
9,0.677823677,0.190898028,0.131278296,0.00%,None (Distilled Water/Control)
10,0.664539466,0.195652482,0.139808052,0.00%,None (Distilled Water/Control)
11,0.675677202,0.192783161,0.131539637,0.00%,None (Distilled Water/Control)
12,0.679761905,0.191301475,0.12893662,0.00%,None (Distilled Water/Control)
13,0.669012068,0.19474553,0.136242402,0.00%,None (Distilled Water/Control)
14,0.667601831,0.194459643,0.137938526,0.00%,None (Distilled Water/Control)
15,0.677017357,0.191284822,0.131697821,0.00%,None (Distilled Water/Control)
16,0.662195441,0.197191583,0.140612977,0.00%,None (Distilled Water/Control)
17,0.67065548,0.193407367,0.135937153,0.00%,None (Distilled Water/Control)
18,0.665489506,0.195817683,0.138692811,0.00%,None (Distilled Water/Control)
19,0.676525731,0.191883435,0.131590834,0.00%,None (Distilled Water/Control)
20,0.670485705,0.193608164,0.135906131,0.00%,None (Distilled Water/Control)
21,0.666964971,0.195294949,0.13774008,0.00%,None (Distilled Water/Control)
22,0.674148052,0.192955364,0.132896584,0.00%,None (Distilled Water/Control)
23,0.680668076,0.192684403,0.126647521,0.00%,None (Distilled Water/Control)
24,0.677883281,0.192955046,0.129161673,0.00%,None (Distilled Water/Control)
25,0.679703468,0.193273848,0.127022684,0.00%,None (Distilled Water/Control)
26,0.666757013,0.197765385,0.135477602,0.00%,None (Distilled Water/Control)
27,0.680795262,0.191552141,0.127652597,0.00%,None (Distilled Water/Control)
28,0.676926382,0.193049582,0.130024036,0.00%,None (Distilled Water/Control)
29,0.677524636,0.192250781,0.130224583,0.00%,None (Distilled Water/Control)
30,0.683091029,0.191845765,0.125063206,0.00%,None (Distilled Water/Control)
31,0.678105098,0.191715754,0.130179147,0.00%,None (Distilled Water/Control)
32,0.66463312,0.197486955,0.137879925,0.00%,None (Distilled Water/Control)
33,0.681141839,0.190764403,0.128093758,0.00%,None (Distilled Water/Control)
34,0.675468822,0.192601787,0.131929391,0.00%,None (Distilled Water/Control)
35,0.677796667,0.191745188,0.130458145,0.00%,None (Distilled Water/Control)
36,0.676948533,0.191860332,0.131191136,0.00%,None (Distilled Water/Control)
37,0.664284728,0.196397566,0.139317706,0.00%,None (Distilled Water/Control)
38,0.682511806,0.192072519,0.125415676,0.00%,None (Distilled Water/Control)
39,0.676134791,0.191679244,0.132185965,0.00%,None (Distilled Water/Control)
40,0.682718174,0.189752851,0.127528975,0.00%,None (Distilled Water/Control)
41,0.683383266,0.189121188,0.127495546,0.00%,None (Distilled Water/Control)
42,0.682658484,0.188993569,0.128347948,0.00%,None (Distilled Water/Control)
43,0.680052083,0.189460468,0.130487449,0.00%,None (Distilled Water/Control)
