#,blue value,green value,red value,concentration
165,0.700494281,0.270296453,0.029209265,0.745
59,0.629702343,0.253168457,0.1171292,0.25
134,0.646954504,0.267272755,0.085772742,0.498
207,0.702635122,0.270498875,0.026866003,0.745
52,0.62952519,0.253452373,0.117022437,0.25
26,0.666757013,0.197765385,0.135477602,0
42,0.682658484,0.188993569,0.128347948,0
144,0.648947052,0.267073564,0.083979383,0.498
124,0.646908585,0.266904878,0.086186537,0.498
5,0.676879074,0.192122376,0.130998551,0
91,0.630844252,0.253040365,0.116115383,0.25
149,0.648478197,0.267312459,0.084209344,0.498
115,0.647797189,0.267422057,0.084780755,0.498
142,0.648097919,0.26730644,0.084595641,0.498
111,0.647658843,0.267486527,0.084854629,0.498
80,0.630216418,0.252408641,0.117374941,0.25
25,0.679703468,0.193273848,0.127022684,0
13,0.669012068,0.19474553,0.136242402,0
65,0.629086782,0.252697661,0.118215557,0.25
106,0.630035865,0.252569029,0.117395106,0.25
32,0.66463312,0.197486955,0.137879925,0
179,0.702704737,0.269443494,0.02785177,0.745
171,0.700713654,0.2695652,0.029721147,0.745
30,0.683091029,0.191845765,0.125063206,0
116,0.647632025,0.267398198,0.084969777,0.498
3,0.677555739,0.191499845,0.130944415,0
84,0.634728358,0.251256588,0.114015054,0.25
82,0.631488634,0.251411728,0.117099638,0.25
126,0.647325298,0.267736575,0.084938127,0.498
138,0.647592074,0.266969494,0.085438431,0.498
148,0.647635977,0.266710348,0.085653675,0.498
198,0.70297097,0.269932156,0.027096875,0.745
95,0.630532472,0.251528484,0.117939044,0.25
176.00,0.701623334,0.269701176,0.028675489,0.745
87,0.634004134,0.252197058,0.113798808,0.25
92,0.630823346,0.252470181,0.116706473,0.25
105,0.630310819,0.252604468,0.117084713,0.25
152,0.647251185,0.267356921,0.085391893,0.498
47,0.671611822,0.19229825,0.136089928,0
71,0.628866818,0.253201642,0.11793154,0.25
7,0.671063971,0.194061075,0.134874954,0
93,0.629735793,0.252553403,0.117710803,0.25
74,0.628671501,0.252743965,0.118584534,0.25
46,0.67428029,0.192187056,0.133532654,0
89,0.632682415,0.253088502,0.114229083,0.25
4,0.66617838,0.194540101,0.13928152,0
8,0.675993447,0.191918143,0.13208841,0
43,0.680052083,0.189460468,0.130487449,0
39,0.676134791,0.191679244,0.132185965,0
99,0.629119089,0.249916613,0.120964298,0.25
123,0.64702247,0.267227081,0.085750449,0.498
191,0.702152297,0.270064723,0.02778298,0.745
69,0.627927985,0.252705101,0.119366914,0.25
145,0.648184163,0.26755089,0.084264948,0.498
86,0.634655121,0.251699069,0.11364581,0.25
129,0.647139549,0.267306612,0.08555384,0.498
185,0.701323717,0.270061678,0.028614605,0.745
29,0.677524636,0.192250781,0.130224583,0
27,0.680795262,0.191552141,0.127652597,0
167,0.700400324,0.270008759,0.029590917,0.745
38,0.682511806,0.192072519,0.125415676,0
22,0.674148052,0.192955364,0.132896584,0
128,0.647654837,0.267862521,0.084482643,0.498
184,0.701346007,0.270075518,0.028578475,0.745
70,0.628248339,0.252794495,0.118957166,0.25
196,0.70031265,0.269764088,0.029923261,0.745
156,0.647667558,0.267475231,0.084857211,0.498
202,0.701379164,0.270382481,0.028238355,0.745
23,0.680668076,0.192684403,0.126647521,0
15,0.677017357,0.191284822,0.131697821,0
98,0.630820835,0.251004132,0.118175033,0.25
77,0.628847663,0.252382411,0.118769927,0.25
212,0.702719241,0.270571882,0.026708876,0.745
54,0.629968686,0.253686245,0.116345068,0.25
50,0.674622393,0.192013873,0.133363734,0
139,0.648870106,0.267310461,0.083819433,0.498
44,0.671934326,0.193345336,0.134720338,0
118,0.647556802,0.267379548,0.08506365,0.498
36,0.676948533,0.191860332,0.131191136,0
37,0.664284728,0.196397566,0.139317706,0
109,0.647280225,0.267367521,0.085352254,0.498
158,0.647131287,0.266779587,0.086089125,0.498
174,0.702498424,0.269394584,0.028106991,0.745
10,0.664539466,0.195652482,0.139808052,0
209,0.70169099,0.27057188,0.02773713,0.745
146,0.647613393,0.266540553,0.085846054,0.498
53,0.628022866,0.252799153,0.119177981,0.25
