blue_value,green_value,red_value,concentration_percentage
0.649847203,0.247558266,0.102594531,25.50
0.651964155,0.247585547,0.100450298,25.50
0.656301399,0.249687034,0.094011568,25.50
0.651556612,0.247996575,0.100446813,25.50
0.651605849,0.248974332,0.09941982,25.50
0.649874767,0.248383184,0.101742049,25.50
0.65689062,0.249917952,0.093191428,25.50
0.654632274,0.248664115,0.09670361,25.50
0.652485774,0.249768587,0.097745639,25.50
0.653760511,0.24970334,0.096536149,25.50
0.651377951,0.250142281,0.098479768,25.50
0.650651793,0.250090047,0.09925816,25.50
0.652865124,0.251185633,0.095949243,25.50
0.649056728,0.24989574,0.101047532,25.50
0.649052166,0.250216493,0.100731341,25.50
0.648008526,0.250320995,0.101670479,25.50
0.648243264,0.250541581,0.101215154,25.50
0.646367725,0.250370114,0.103262161,25.50
0.646061703,0.248213259,0.105725039,25.50
0.64983112,0.250416928,0.099751952,25.50
0.648632861,0.250464053,0.100903086,25.50
0.643767659,0.250313259,0.105919082,25.50
0.647791444,0.250139844,0.102068712,25.50
0.647400743,0.250384515,0.102214741,25.50
0.64446134,0.250099676,0.105438983,25.50
0.645065958,0.249891121,0.105042921,25.50
0.644239796,0.250390992,0.105369212,25.50
0.64622218,0.250623702,0.103154118,25.50
0.643426745,0.250497504,0.10607575,25.50
0.640587557,0.249908678,0.109503765,25.50
0.640110373,0.250222109,0.109667518,25.50
0.642831266,0.25096686,0.106201874,25.50
0.641984286,0.246593577,0.111422136,25.50
0.643924093,0.25003359,0.106042317,25.50
0.644718417,0.250186453,0.10509513,25.50
0.646670157,0.25004621,0.103283633,25.50
0.64492942,0.25009155,0.104979029,25.50
0.642268805,0.250011059,0.107720136,25.50
0.637122663,0.246362363,0.116514975,25.50
0.640248419,0.250656936,0.109094645,25.50
0.644619292,0.250489074,0.104891634,25.50
0.644377444,0.250573635,0.105048921,25.50
0.64477697,0.247863264,0.107359766,25.50
0.644204677,0.248840318,0.106955005,25.50
0.645522247,0.248565941,0.105911812,25.50
0.645793032,0.248859213,0.105347755,25.50
0.646854155,0.248768502,0.104377344,25.50
0.646967849,0.248108123,0.104924028,25.50
0.64719798,0.247918527,0.104883493,25.50
0.64694204,0.248274896,0.104783064,25.50
0.646248562,0.248978807,0.104772631,25.50
0.647412097,0.249654804,0.102933099,25.50
0.654552915,0.249506393,0.095940692,25.50
0.615823471,0.350238082,0.033938447,50.00
0.613097494,0.352068287,0.034834219,50.00
0.611829719,0.351700539,0.036469742,50.00
0.610085095,0.350560651,0.039354254,50.00
0.610094739,0.34975258,0.040152681,50.00
0.611272668,0.350090278,0.038637054,50.00
0.61124007,0.349027022,0.039732907,50.00
0.611430755,0.349276709,0.039292536,50.00
0.611425091,0.348554211,0.040020698,50.00
0.612048884,0.348804404,0.039146712,50.00
0.609060969,0.346054433,0.044884598,50.00
0.607707427,0.34692642,0.045366153,50.00
0.610313353,0.339914092,0.049772556,50.00
0.607878684,0.344128334,0.047992982,50.00
0.607413306,0.347490212,0.045096483,50.00
0.609949399,0.347780698,0.042269903,50.00
0.612160781,0.348530424,0.039308795,50.00
0.612556727,0.347418109,0.040025164,50.00
0.609461547,0.347139375,0.043399079,50.00
0.609968198,0.34708463,0.042947172,50.00
0.611338294,0.348379483,0.040282223,50.00
0.609841288,0.346777123,0.043381589,50.00
0.610964295,0.343851427,0.045184278,50.00
0.60943156,0.350830166,0.039738274,50.00
0.609125536,0.347013251,0.043861212,50.00
0.613812189,0.344535397,0.041652414,50.00
0.611773719,0.346763818,0.041462463,50.00
0.61184268,0.347540389,0.040616931,50.00
0.612772636,0.347182034,0.040045329,50.00
0.607944552,0.349031284,0.043024164,50.00
0.613268149,0.347072719,0.039659132,50.00
0.607667771,0.351127151,0.041205078,50.00
0.609863042,0.352219754,0.037917205,50.00
0.611889238,0.346799065,0.041311697,50.00
0.61100614,0.347444045,0.041549815,50.00
0.612546952,0.348705309,0.038747739,50.00
0.612331388,0.348805143,0.03886347,50.00
0.611358644,0.34656209,0.042079267,50.00
0.610096278,0.347457439,0.042446283,50.00
